,type,name,nhab,services,rating,price_night,district_id,airbnb_id
137,Habitacion privada,Villa Gil 2,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.59,35,2,251
138,Alojamiento entero: loft,Classical loft close to pedrera!,4 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.34,94,2,60
139,Habitacion privada,Centric Double Room Private Bathroom,2 huespedes * 1 dormitorio * 1 cama * 2 banos,Wifi * Cocina * Lavadora,4.76,51,2,51
140,Habitacion de hotel boutique,"Hostal Khronos, Double Room with Balcony",2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,4.55,77,2,144
141,Habitacion privada,Spacious Cosy room & Private balcony and bathroom,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,5.0,53,2,229
142,Habitacion privada,Bonito piso en Barcelona!,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina,4.87,51,2,43
143,Habitacion de hotel,Hola Hostal Eixample. Cama en dormitorio 24pax,1 huesped * 1 dormitorio,Wifi * Cocina * Lavadora * Aire acondicionado,4.43,19,2,143
144,Habitacion privada,Lovely doble room in the center of BCN,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi,4.3,33,2,162
145,Habitacion privada,Sheng Jia Tang Fu Jin Dan Ren Jian ,"1 huesped * 1 dormitorio * 1,5 banos compartidos",Wifi * Lavadora,4.86,26,2,263
146,Habitacion privada,Mihlton B&B Habitacion individual bano privado,1 huesped * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,4.67,59,2,172
147,Habitacion privada,Room Sagrada Familia + Rooftop,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.65,51,2,205
148,Habitacion de hotel boutique,Double Room Gallery extra bed,2 huespedes * 1 dormitorio * 2 camas * 1 bano,Wifi * Aire acondicionado,4.29,80,2,85
149,Alojamiento entero: piso,Precioso Estudio en Barcelona *Bcn* E04,3 huespedes * 1 dormitorio * 1 cama * 1 bano,Tu anfitrion es una empresa * Wifi * Cocina * Lavadora,4.62,103,2,193
150,Habitacion privada,Gran Habitacion en el Centro de Barcelona,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.75,76,2,104
151,Alojamiento entero: piso,Sunny apartment next to Sagrada Familia,2 huespedes * 1 dormitorio * 1 cama * 1 bano,Tu anfitrion es una empresa * Wifi * Cocina * Aire acondicionado,4.9,110,2,235
152,Habitacion privada,BEAUTIFUL DOUBLE ROOM Sagrada Familia,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.94,58,2,28
153,Alojamiento entero: loft,Stylish 1-bedroom Apartment + Loft/Downtown BCN,5 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.68,114,2,232
154,Habitacion privada,Centric bedroom with private bath & views,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,4.86,55,2,52
155,Habitacion privada,Cozy Room in Eixample (downtown Barcelona) 3,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Lavadora,4.39,61,2,67
156,Habitacion privada,Habitacion doble/Sagrada Familia-Barcelona,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina,4.45,45,2,133
157,Alojamiento entero: piso,Little Pretty Place... en el Corazon de Barcelona,4 huespedes * 2 dormitorios * 4 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.5,100,2,158
158,Habitacion privada,Habitacion en centro de Barcelona con bano privado,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi,4.66,59,2,110
159,Alojamiento entero: piso,2-1 * Loft a 10 minutos de la Sagrada Familia,4 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.58,117,2,4
160,Habitacion privada,Double room in Sagrada Familia.,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.87,51,2,89
161,Alojamiento entero: loft,Precioso Estudio en Barcelona *Bcn* E01,3 huespedes * 1 dormitorio * 1 cama * 1 bano,Tu anfitrion es una empresa * Wifi * Cocina * Lavadora,4.57,103,2,192
162,Habitacion de hostal,Cozy and Modern Single Room,1 huesped * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Lavadora * Aire acondicionado,4.75,62,2,68
163,Habitacion privada,"Sagrada familia, centrico exterior.Piso particular","2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Lavadora * Aire acondicionado,5.0,45,2,223
164,Alojamiento entero: piso,Precioso Apartamento en Barcelona *Bcn* E02,3 huespedes * 1 dormitorio * 2 camas * 1 bano,Wifi * Cocina * Aire acondicionado,4.6,103,2,190
165,Alojamiento entero: loft,Precioso Loft en Barcelona *Bcn* E03.,3 huespedes * Estudio * 2 camas * 1 bano,Tu anfitrion es una empresa * Wifi * Cocina * Aire acondicionado,4.56,103,2,195
166,Habitacion privada,Cozy Room in Eixample (downtown Barcelona) 2,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Lavadora,4.5,61,2,66
167,Habitacion privada,Habitacion doble ideal para parejas,2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina,4.83,58,2,131
168,Apartamento con servicios entero,Estudio luminoso en el centro de Barcelona,2 huespedes * Estudio * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.7,122,2,97
169,Alojamiento entero: loft,Precioso Loft en Barcelona *Bcn* C03,3 huespedes * Estudio * 2 camas * 1 bano,Tu anfitrion es una empresa * Wifi * Cocina * Lavadora,4.66,130,2,194
170,Habitacion privada,Finca Modernista S. XIX Arc del Triunf Hab. Single,"1 huesped * 1 dormitorio * 2 camas * 1,5 banos compartidos",Wifi * Cocina,4.93,42,2,100
171,Alojamiento entero: piso,5-3 * Apartamento con encanto en Barcelona,4 huespedes * 2 dormitorios * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.71,131,2,12
172,Habitacion de hotel,Tiny Double Room,2 huespedes * 1 dormitorio * 1 bano privado,Wifi * Aire acondicionado,4.69,70,2,244
173,Habitacion privada,DOUBLE ROOM NEAR TO THE BEACH AND SAGRADA FAMILIA,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.31,52,2,79
174,Habitacion privada,"Centrico, tranquilo y seguro","2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina,4.78,58,2,75
175,Alojamiento entero: piso,4-4 * Centrico apartamento de diseno,4 huespedes * 2 dormitorios * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,5.0,130,2,8
176,Alojamiento entero: piso,5-1 * Precioso apartamento en el centro de Barcelona,4 huespedes * 2 dormitorios * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.33,120,2,10
177,Habitacion privada,habitacion privada en Sants estacion,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.56,26,2,258
178,Habitacion privada,Quiet Room in a Catalan Modernist Apartment,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Lavadora,,60,2,202
179,Alojamiento entero: piso,Precioso Estudio en Barcelona *Bcn* A01,3 huespedes * Estudio * 2 camas * 1 bano,Tu anfitrion es una empresa * Wifi * Cocina * Lavadora,4.76,103,2,191
180,Habitacion de hotel,Estilo atemporal en habitacion doble con balcon,2 huespedes * 1 dormitorio * 1 bano privado,Wifi * Aire acondicionado,4.52,84,2,96
181,Habitacion de hotel boutique,"Habitacion Doble Exterior, bano privado y balcon",2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,4.56,87,2,113
182,Alojamiento entero: loft,Estudio&terraza/magicas vistas,2 huespedes * 1 dormitorio * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.92,154,2,98
183,Habitacion privada,HABITACION CERCA A SAGRADA FAMILIA Y PLAYA,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.51,59,2,106
184,Alojamiento entero: piso,E-1 * E-1 * Apartamento centrico,4 huespedes * 2 dormitorios * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.45,115,2,90
185,Alojamiento entero: piso,5-2 * Apartamento centrico en Barcelona,4 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.63,127,2,11
186,Habitacion privada,Sagrada Familia Apartment + Rooftoph,2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora,4.14,51,2,221
187,Habitacion privada,Bu Xing 2Fen Zhong Dao Sheng Jia Tang De Jia Ting Min Su ,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Lavadora,4.55,38,2,264
188,Habitacion de hotel boutique,"Hostal Khronos, Twin Ecomony",2 huespedes * 1 dormitorio * 2 camas * 1 bano privado,Wifi * Aire acondicionado,4.75,72,2,145
189,Habitacion privada,Fantastica Habitacion #3 a 1 min del Arc de Triomf,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina,4.75,63,2,99
190,Alojamiento entero: piso,Sagrada Familia charming,8 huespedes * 3 dormitorios * 5 camas * 2 banos,Wifi * Cocina * Lavadora * Aire acondicionado,4.82,165,2,222
191,Habitacion privada,Bowindow Room in Catalan Modernist Apartment,"2 huespedes * 4 dormitorios * 3 camas * 1,5 banos compartidos",Wifi * Cocina * Lavadora,,62,2,45
192,Alojamiento entero: piso,A3 Passeig de Gracia & Apartment Enjoy it Forever,2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.13,107,2,15
193,Alojamiento entero: piso,1-1 * Apartamento a 10 minutos de la Sagrada Familia,2 huespedes * 2 dormitorios * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.87,112,2,2
194,Habitacion privada,Amplia habitacion con terraza y bano privado,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Lavadora,4.88,86,2,21
195,Habitacion privada,"Private Lounge, bathroom & bedroom",4 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Cocina * Lavadora,4.84,84,2,199
196,Alojamiento entero: piso,Bright and roomy flat city center,"6 huespedes * 4 dormitorios * 4 camas * 1,5 banos",Wifi * Cocina * Lavadora * Aire acondicionado,4.56,95,2,46
197,Alojamiento entero: piso,Cozy small Apartment,3 huespedes * 2 dormitorios * 2 camas * 1 bano,Tu anfitrion es una empresa * Wifi * Cocina * Lavadora,4.18,133,2,72
198,Alojamiento entero: piso,3-4 * Acogedor apartamento en Barcelona,3 huespedes * 2 dormitorios * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.77,126,2,7
199,Alojamiento entero: piso,Apartamento soleado cerca de Ramblas Wifi *Bcn*,6 huespedes * 2 dormitorios * 3 camas * 1 bano,Tu anfitrion es una empresa * Wifi * Cocina * Lavadora,4.15,118,2,24
200,Habitacion privada,2. Room in the city center near Sagrada Familia.,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.43,52,2,5
201,Habitacion privada,Chilling Center,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Aire acondicionado,4.57,57,2,57
202,Habitacion privada,tranquila y confortable habitacion SAGRADA FAMILIA,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.59,57,2,259
203,Habitacion de hostal,"Habitacion Doble Superior, Bano Privado",2 huespedes * 1 dormitorio * 2 camas * 1 bano privado,Wifi * Aire acondicionado,5.0,61,2,114
204,Apartamento con servicios entero,Luminoso Loft en Sagrada Familia!,2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Aire acondicionado,4.68,93,2,165
205,Habitacion privada,Sunny Double Room close to Sagrada Familia,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,5.0,56,2,234
206,Apartamento con servicios entero,The Sagrada Familia Apartment,3 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.53,107,2,243
207,Alojamiento entero: piso, CASA MIRO by Cocoon Barcelona,4 huespedes * 1 dormitorio * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.76,142,2,261
208,Habitacion privada,Villa Gil,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.32,51,2,250
209,Habitacion de hotel boutique,Comfort Double Room City View,2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Aire acondicionado,4.7,87,2,61
210,Apartamento con servicios entero,Comodos apartamentos cerca de Las Ramblas,6 huespedes * 2 dormitorios * 4 camas * 2 banos,Wifi * Cocina * Lavadora * Aire acondicionado,4.65,165,2,78
211,Alojamiento entero: piso,3-3 * Apartamento centrico para 3 personas,3 huespedes * 2 dormitorios * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,3.9,117,2,6
212,Habitacion privada, Nice and cozy Bedroom  Picasso Room,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.91,45,2,262
213,Alojamiento entero: piso,Lovely &Cozy Flat 9 min walk from Sagrada Familia,2 huespedes * 1 dormitorio * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.58,122,2,159
214,Habitacion privada,Beautiful and sunny apartment at Eixample!,2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora,,58,2,35
215,Habitacion privada,Habitacion en Gracia cerca del Park Guell,2 huespedes * 1 dormitorio * 2 camas * 1 bano compartido,Wifi * Cocina * Lavadora,4.78,29,3,134
216,Habitacion de hotel boutique,Super Suite H4* Gracia Stay & Up n4,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,4.74,70,3,239
217,Habitacion privada,Beautiful bedroom with balcony in best area,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina,4.69,51,3,37
218,Habitacion de hotel boutique,Super Suite H4* Gracia Stay & Up n2,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Aire acondicionado,4.84,73,3,238
219,Habitacion privada,Huge and bright double room,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina,4.61,51,3,148
220,Habitacion privada,Cozy room in the heart of BARCELONA,2 huespedes * 1 dormitorio * 2 camas * 1 bano compartido,Wifi,4.77,55,3,70
221,Habitacion privada,Habitacion dobe con terraza en el Gracia,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Aire acondicionado,4.17,39,3,126
222,Alojamiento entero: piso,Nice & Cozy Apartment in Gracia,4 huespedes * 1 dormitorio * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.87,124,3,177
223,Habitacion privada,Habitacion amplia en casa antigua,"2 huespedes * 1 dormitorio * 1 cama * 2,5 banos compartidos",Wifi * Lavadora,4.45,45,3,123
224,Alojamiento entero: piso,City center Gracia 5 min to Sagrada Familia,6 huespedes * 3 dormitorios * 3 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.67,114,3,58
225,Habitacion privada,Luminosa habitacion en casa en Barcelona,"2 huespedes * 1 dormitorio * 1 cama * 2,5 banos compartidos",Wifi * Lavadora,4.79,49,3,164
226,Habitacion privada,Single room in the heart of Gracia,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Aire acondicionado,4.53,40,3,227
227,Habitacion privada,Single room in the heart of Gracia,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Aire acondicionado,4.53,40,3,227
228,Habitacion privada,"Bcn. Gracia, tranquilo y con terraza",1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.83,36,3,31
229,Habitacion privada,Bonita habitacion en casa en Barcelona,"2 huespedes * 1 dormitorio * 1 cama * 2,5 banos compartidos",Wifi * Lavadora,4.79,42,3,40
230,Alojamiento entero: piso,"InBarcelonaSuites, Paseo de Gracia, 4 guests.",4 huespedes * 1 dormitorio * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.85,136,3,152
231,Alojamiento entero: piso,Bonito piso al lado parque Guell1,4 huespedes * Estudio * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.42,81,3,42
232,Habitacion privada,Comoda habitacion doble en casa antigua,"2 huespedes * 1 dormitorio * 1 cama * 2,5 banos compartidos",Wifi * Lavadora,4.8,45,3,76
233,Alojamiento entero: piso,Beautiful apartment sagrada familia/parque guell,4 huespedes * 2 dormitorios * 3 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,,113,3,36
234,Habitacion privada,Private room in Gracia,1 huesped * 3 dormitorios * 1 bano compartido,Wifi * Cocina * Lavadora,,28,3,201
235,Alojamiento entero: piso,Central y encantador apartamento.,6 huespedes * 2 dormitorios * 4 camas * 2 banos,Wifi * Cocina * Lavadora * Aire acondicionado,4.49,122,3,50
236,Habitacion privada,Central Room,"1 huesped * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Lavadora,4.42,29,8,47
237,Alojamiento entero: piso,Impresionante apartamento en la playa,4 huespedes * 1 dormitorio * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.71,93,8,151
238,Habitacion privada,SINGLE private bedroom,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina,4.81,24,8,218
239,Habitacion privada,Beach modern spacious room Queen bed in Poblenou,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora * Aire acondicionado,5.0,53,8,32
240,Alojamiento entero: alojamiento residencial,Ameno Atico: cerca de la playa pero centrico,3 huespedes * 1 dormitorio * 4 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.74,119,8,20
241,Habitacion privada,Hab X 2 :) Hospital Sant Pau y Sagrada Familia,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina,4.59,45,8,107
242,Habitacion privada,Habitacion sensilla confortable en casa familiar,1 huesped * 1 dormitorio * 1 cama * 1 bano,Wifi,4.73,31,8,111
243,Habitacion privada,Precioso apartamento cerca de Sagrada Familia,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,,41,8,196
244,Habitacion privada,Twin Room Central + Close to the beach,"2 huespedes * 1 dormitorio * 2 camas * 1,5 banos",Wifi * Cocina,4.5,48,8,246
245,Habitacion privada,Habitacion privada en plena de Barcelona,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Aire acondicionado,4.84,48,8,142
246,Habitacion privada,Double Simple Room + Perfect Central Location,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina,4.45,42,8,86
247,Alojamiento entero: piso,Apartamento SAGRADA FAMILIA - free WIFI - NETFLIX,5 huespedes * 2 dormitorios * 2 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.23,110,8,23
248,Habitacion privada,Ciutadella-vila olimpica beach 1,2 huespedes * 1 dormitorio * 1 cama * 2 banos compartidos,Wifi * Cocina * Aire acondicionado,4.59,53,8,59
249,Alojamiento entero: piso,Poblenou-New York,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos",Wifi * Cocina * Lavadora * Aire acondicionado,4.93,130,8,188
250,Habitacion privada,"Cozy room, worthy of you !! ONLY FOR GIRLS","1 huesped * 1 dormitorio * 1,5 banos compartidos",Wifi * Lavadora,4.87,32,5,71
251,Habitacion privada,Habitacion en pleno centro de barcelona,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina,4.75,43,5,135
252,Habitacion privada,Cosy & Warm single bed near (100 m) FCB stadium,1 huesped * Estudio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.56,32,5,64
253,Habitacion privada,Ile 2,1 huesped * 1 dormitorio * 1 bano compartido,Wifi * Cocina * Aire acondicionado,4.74,30,4,149
254,Habitacion privada,Ile1,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Aire acondicionado,4.45,32,4,150
255,Habitacion privada,Habitacion individual a 15' del centro,1 huesped * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Cocina * Lavadora * Aire acondicionado,4.95,42,4,136
256,Habitacion privada,"El Faro, Habitacion privada 1",2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.56,42,4,91
257,Habitacion privada,habitacion 1 en el parque guell limpia y tranquila,"2 huespedes * 1 dormitorio * 1,5 banos",Wifi,4.32,33,4,256
258,Habitacion privada,SUNNY room for 2 or 3 person near sagrada familia,3 huespedes * 1 dormitorio * 2 camas * 1 bano compartido,Wifi * Cocina,4.0,41,4,220
259,Habitacion privada,Habitacion doble muy comoda/sagrada familia,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina,4.64,39,4,132
260,Habitacion privada,"El Faro, habitacion privada 2",2 huespedes * 1 dormitorio * 2 camas * 1 bano compartido,Wifi * Cocina * Lavadora,4.48,38,4,92
261,Habitacion privada,"El Faro, habitacion privada 3",2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.57,31,4,93
262,Habitacion privada,2 bed in single room Near Sagrada Familia,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Lavadora * Aire acondicionado,4.57,56,4,3
263,Habitacion privada,Sunny room for 2 persons near Park Guell Barcelona,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.38,36,4,236
264,Alojamiento entero: loft,"Luxury loft new and fully furnished, top amenities","4 huespedes * 1 dormitorio * 3 camas * 1,5 banos",Wifi * Cocina * Lavadora * Aire acondicionado,5.0,105,4,168
265,Alojamiento entero: piso,SUITE 30m2. AirCond. Heating. WIFI. LIFT. PARKING.,2 huespedes * 1 dormitorio * 2 camas * 1 bano,Wifi * Cocina * Aire acondicionado,4.51,96,10,219
